"TickerSymbol","Sector","SubIndustry"
"MMM","Industrials","Industrial Conglomerates"
"ABT","Health Care","Health Care Equipment & Services"
"ABBV","Health Care","Pharmaceuticals"
"ACN","Information Technology","IT Consulting & Other Services"
"ACE","Financials","Property & Casualty Insurance"
"ATVI","Information Technology","Home Entertainment Software"
"ADBE","Information Technology","Application Software"
"ADT","Industrials","Diversified Commercial Services"
"AAP","Consumer Discretionary","Automotive Retail"
"AES","Utilities","Independent Power Producers & Energy Traders"
"AET","Health Care","Managed Health Care"
"AFL","Financials","Life & Health Insurance"
"AMG","Financials","Asset Management & Custody Banks"
"A","Health Care","Health Care Equipment & Services"
"GAS","Utilities","Gas Utilities"
"APD","Materials","Industrial Gases"
"ARG","Materials","Industrial Gases"
"AKAM","Information Technology","Internet Software & Services"
"AA","Materials","Aluminum"
"AGN","Health Care","Pharmaceuticals"
"ALXN","Health Care","Biotechnology"
"ALLE","Industrials","Building Products"
"ADS","Information Technology","Data Processing & Outsourced Services"
"ALL","Financials","Property & Casualty Insurance"
"ALTR","Information Technology","Semiconductors"
"MO","Consumer Staples","Tobacco"
"AMZN","Consumer Discretionary","Internet Retail"
"AEE","Utilities","MultiUtilities"
"AAL","Industrials","Airlines"
"AEP","Utilities","Electric Utilities"
"AXP","Financials","Consumer Finance"
"AIG","Financials","Property & Casualty Insurance"
"AMT","Financials","Specialized REITs"
"AMP","Financials","Diversified Financial Services"
"ABC","Health Care","Health Care Distribution & Services"
"AME","Industrials","Electrical Components & Equipment"
"AMGN","Health Care","Biotechnology"
"APH","Industrials","Electrical Components & Equipment"
"APC","Energy","Oil & Gas Exploration & Production"
"ADI","Information Technology","Semiconductors"
"AON","Financials","Insurance Brokers"
"APA","Energy","Oil & Gas Exploration & Production"
"AIV","Financials","REITs"
"AAPL","Information Technology","Computer Hardware"
"AMAT","Information Technology","Semiconductor Equipment"
"ADM","Consumer Staples","Agricultural Products"
"AIZ","Financials","Multi-line Insurance"
"T","Telecommunications Services","Integrated Telecommunications Services"
"ADSK","Information Technology","Application Software"
"ADP","Information Technology","Internet Software & Services"
"AN","Consumer Discretionary","Specialty Stores"
"AZO","Consumer Discretionary","Specialty Stores"
"AVGO","Information Technology","Semiconductors"
"AVB","Financials","Residential REITs"
"AVY","Materials","Paper Packaging"
"BHI","Energy","Oil & Gas Equipment & Services"
"BLL","Materials","Metal & Glass Containers"
"BAC","Financials","Banks"
"BK","Financials","Banks"
"BCR","Health Care","Health Care Equipment & Services"
"BXLT","Health Care","Biotechnology"
"BAX","Health Care","Health Care Equipment & Services"
"BBT","Financials","Banks"
"BDX","Health Care","Health Care Equipment & Services"
"BBBY","Consumer Discretionary","Specialty Stores"
"BRK-B","Financials","Multi-Sector Holdings"
"BBY","Consumer Discretionary","Computer & Electronics Retail"
"BIIB","Health Care","Biotechnology"
"BLK","Financials","Asset Management & Custody Banks"
"HRB","Financials","Consumer Finance"
"BA","Industrials","Aerospace & Defense"
"BWA","Consumer Discretionary","Auto Parts & Equipment"
"BXP","Financials","REITs"
"BSX","Health Care","Health Care Equipment & Services"
"BMY","Health Care","Health Care Distributors & Services"
"BRCM","Information Technology","Semiconductors"
"BF-B","Consumer Staples","Distillers & Vintners"
"CHRW","Industrials","Air Freight & Logistics"
"CA","Information Technology","Systems Software"
"CVC","Consumer Discretionary","Broadcasting & Cable TV"
"COG","Energy","Oil & Gas Exploration & Production"
"CAM","Energy","Oil & Gas Equipment & Services"
"CPB","Consumer Staples","Packaged Foods & Meats"
"COF","Financials","Consumer Finance"
"CAH","Health Care","Health Care Distributors & Services"
"HSIC","Health Care","Health Care Distributors & Services"
"KMX","Consumer Discretionary","Specialty Stores"
"CCL","Consumer Discretionary","Hotels, Resorts & Cruise Lines"
"CAT","Industrials","Construction & Farm Machinery & Heavy Trucks"
"CBG","Financials","Real Estate Services"
"CBS","Consumer Discretionary","Broadcasting & Cable TV"
"CELG","Health Care","Biotechnology"
"CNP","Utilities","MultiUtilities"
"CTL","Telecommunications Services","Integrated Telecommunications Services"
"CERN","Health Care","Health Care Distributors & Services"
"CF","Materials","Fertilizers & Agricultural Chemicals"
"SCHW","Financials","Investment Banking & Brokerage"
"CHK","Energy","Integrated Oil & Gas"
