"symbol" "sector"
"AA" "matTelUtil"
"AAPL" "InfoTech"
"ABT" "HealthCare"
"ACE" "Financials"
"ACT" "HealthCare"
"ADBE" "InfoTech"
"ADI" "InfoTech"
"ADM" "ConsumerStaples"
"ADP" "InfoTech"
"ADSK" "InfoTech"
"AEP" "matTelUtil"
"AES" "matTelUtil"
"AET" "HealthCare"
"AFL" "Financials"
"AGN" "HealthCare"
"AIG" "Financials"
"AIV" "Financials"
"ALL" "Financials"
"ALTR" "InfoTech"
"AMAT" "InfoTech"
"AMD" "matTelUtil"
"AMGN" "HealthCare"
"AN" "ConsumerDiscretionary"
"AON" "Financials"
"APA" "Energy"
"APC" "Energy"
"APD" "matTelUtil"
"APH" "InfoTech"
"APOL" "matTelUtil"
"ARG" "matTelUtil"
"AVP" "ConsumerStaples"
"AVY" "matTelUtil"
"AXP" "Financials"
"AZO" "ConsumerDiscretionary"
"BA" "Industrials"
"BAC" "Financials"
"BAX" "HealthCare"
"BBBY" "ConsumerDiscretionary"
"BBT" "Financials"
"BBY" "ConsumerDiscretionary"
"BCR" "HealthCare"
"BDX" "HealthCare"
"BEAM" "ConsumerStaples"
"BEN" "Financials"
"BF_B" "ConsumerStaples"
"BHI" "Energy"
"BIIB" "HealthCare"
"BK" "Financials"
"BLL" "matTelUtil"
"BMC" "matTelUtil"
"BMS" "matTelUtil"
"BMY" "HealthCare"
"BSX" "HealthCare"
"C" "Financials"
"CA" "InfoTech"
"CAG" "ConsumerStaples"
"CAH" "HealthCare"
"CAT" "Industrials"
"CB" "Financials"
"CCE" "ConsumerStaples"
"CCL" "ConsumerDiscretionary"
"CELG" "HealthCare"
"CERN" "HealthCare"
"CHK" "Energy"
"CI" "HealthCare"
"CINF" "Financials"
"CL" "ConsumerStaples"
"CLF" "matTelUtil"
"CLX" "ConsumerStaples"
"CMA" "Financials"
"CMCSA" "ConsumerDiscretionary"
"CMI" "Industrials"
"CMS" "matTelUtil"
"CNP" "matTelUtil"
"COF" "Financials"
"COG" "Energy"
"COP" "Energy"
"COST" "ConsumerStaples"
"CPB" "ConsumerStaples"
"CSC" "InfoTech"
"CSCO" "InfoTech"
"CSX" "Industrials"
"CTAS" "Industrials"
"CTL" "matTelUtil"
"CVC" "ConsumerDiscretionary"
"CVH" "matTelUtil"
"CVS" "ConsumerStaples"
"CVX" "Energy"
"D" "matTelUtil"
"DD" "matTelUtil"
"DE" "Industrials"
"DELL" "InfoTech"
"DHI" "ConsumerDiscretionary"
"DHR" "Industrials"
"DIS" "ConsumerDiscretionary"
"DNB" "Industrials"
"DOV" "Industrials"
"DOW" "matTelUtil"
"DTE" "matTelUtil"
"DUK" "matTelUtil"
"DVN" "Energy"
"EA" "InfoTech"
"ECL" "matTelUtil"
"ED" "matTelUtil"
"EFX" "Industrials"
"EIX" "matTelUtil"
"EMC" "InfoTech"
"EMN" "matTelUtil"
"EMR" "Industrials"
"EOG" "Energy"
"EQR" "Financials"
"EQT" "Energy"
"ESRX" "HealthCare"
"ESV" "Energy"
"ETN" "Industrials"
"ETR" "matTelUtil"
"EXC" "matTelUtil"
"EXPD" "Industrials"
"F" "ConsumerDiscretionary"
"FAST" "Industrials"
"FDO" "ConsumerDiscretionary"
"FDX" "Industrials"
"FHN" "matTelUtil"
"FISV" "InfoTech"
"FITB" "Financials"
"FLS" "Industrials"
"FMC" "matTelUtil"
"FOSL" "ConsumerDiscretionary"
"FRX" "HealthCare"
"GAS" "matTelUtil"
"GCI" "ConsumerDiscretionary"
"GD" "Industrials"
"GE" "Industrials"
"GILD" "HealthCare"
"GIS" "ConsumerStaples"
"GLW" "InfoTech"
"GPC" "ConsumerDiscretionary"
"GPS" "ConsumerDiscretionary"
"GT" "ConsumerDiscretionary"
"GWW" "Industrials"
"HAL" "Energy"
"HAR" "ConsumerDiscretionary"
"HAS" "ConsumerDiscretionary"
"HBAN" "Financials"
"HCN" "Financials"
"HCP" "Financials"
"HD" "ConsumerDiscretionary"
"HES" "Energy"
"HNZ" "matTelUtil"
"HOG" "ConsumerDiscretionary"
"HON" "Industrials"
"HOT" "ConsumerDiscretionary"
"HP" "Energy"
"HPQ" "InfoTech"
"HRB" "ConsumerDiscretionary"
"HRL" "ConsumerStaples"
"HRS" "InfoTech"
"HST" "Financials"
"HSY" "ConsumerStaples"
"HUM" "HealthCare"
"IBM" "InfoTech"
"IFF" "matTelUtil"
"IGT" "ConsumerDiscretionary"
"INTC" "InfoTech"
"INTU" "InfoTech"
"IP" "matTelUtil"
"IPG" "ConsumerDiscretionary"
"IR" "Industrials"
"ITW" "Industrials"
"JBL" "InfoTech"
"JCI" "ConsumerDiscretionary"
"JCP" "ConsumerDiscretionary"
"JDSU" "InfoTech"
"JEC" "Industrials"
"JNJ" "HealthCare"
"JPM" "Financials"
"JWN" "ConsumerDiscretionary"
"K" "ConsumerStaples"
"KEY" "Financials"
"KLAC" "InfoTech"
"KMB" "ConsumerStaples"
"KO" "ConsumerStaples"
"KR" "ConsumerStaples"
"KSS" "ConsumerDiscretionary"
"L" "Financials"
"LEG" "ConsumerDiscretionary"
"LEN" "ConsumerDiscretionary"
"LH" "HealthCare"
"LLTC" "InfoTech"
"LLY" "HealthCare"
"LM" "Financials"
"LMT" "Industrials"
"LNC" "Financials"
"LOW" "ConsumerDiscretionary"
"LRCX" "InfoTech"
"LSI" "InfoTech"
"LTD" "ConsumerDiscretionary"
"LUK" "Financials"
"LUV" "Industrials"
"M" "ConsumerDiscretionary"
"MAR" "ConsumerDiscretionary"
"MAS" "Industrials"
"MAT" "ConsumerDiscretionary"
"MCD" "ConsumerDiscretionary"
"MCHP" "InfoTech"
"MCK" "HealthCare"
"MDT" "HealthCare"
"MKC" "ConsumerStaples"
"MMC" "Financials"
"MMM" "Industrials"
"MO" "ConsumerStaples"
"MOLX" "InfoTech"
"MRK" "HealthCare"
"MRO" "Energy"
"MS" "Financials"
"MSFT" "InfoTech"
"MSI" "InfoTech"
"MTB" "Financials"
"MU" "InfoTech"
"MUR" "Energy"
"MWV" "matTelUtil"
"MYL" "HealthCare"
"NBL" "Energy"
"NBR" "Energy"
"NE" "Energy"
